g	gs	mpg	fgp	threepp	ftp	offr	defr	rpg	apg	spg	bpg	to	pf	ppg	name
84	17	12.3	0.435	0.300	0.702	0.5	1.6	2.2	0.9	0.4	0.7	1.0	2.0	4.0	Johnson, James	
236	34	20.5	0.439	0.355	0.807	0.4	1.6	1.9	2.3	1.1	0.1	1.0	1.4	7.6	Watson, C.J.	
256	79	23.7	0.458	0.194	0.777	0.6	2.1	2.7	3.8	0.8	0.4	1.7	2.1	7.1	Livingston, Shaun	
470	125	15.3	0.439	0.188	0.778	1.0	1.9	2.8	0.5	0.3	0.5	0.7	1.9	4.9	Allen, Malik	
815	497	28.4	0.427	0.385	0.794	0.7	3.5	4.3	3.0	0.8	0.3	1.6	2.6	12.0	Turkoglu, Hedo	
223	19	14.3	0.516	0.000	0.687	1.7	2.3	4.0	0.3	0.3	0.4	0.8	2.1	6.3	Powe, Leon	
105	10	15.1	0.484	0.000	0.696	1.7	2.3	4.0	0.4	0.3	0.6	0.8	2.1	5.5	Hill, Jordan	
226	219	34.0	0.502	0.000	0.806	2.8	4.9	7.7	1.6	0.6	1.7	2.2	3.1	17.0	Lopez, Brook	
64	64	37.9	0.508	0.412	0.640	3.6	8.9	12.5	3.7	0.7	0.5	2.7	3.0	22.7	Griffin, Blake	
739	648	33.5	0.418	0.339	0.799	0.8	3.2	4.0	3.3	1.4	0.4	2.6	2.5	16.3	Jackson, Stephen	
78	1	10.7	0.398	0.000	0.636	0.7	1.3	2.0	0.4	0.4	0.1	0.3	1.4	2.8	Carroll, DeMarre	
451	379	31.3	0.452	0.337	0.772	1.8	4.2	6.0	1.7	1.1	0.6	1.5	2.6	15.1	Howard, Josh	
235	147	25.4	0.406	0.313	0.697	0.9	2.4	3.3	1.7	1.3	0.3	1.5	2.5	9.0	Brewer, Corey	
125	19	22.5	0.441	0.379	0.798	0.8	2.1	2.9	1.4	0.7	0.1	1.0	1.5	12.3	Thornton, Marcus	
179	18	16.4	0.401	0.301	0.821	0.2	1.4	1.7	2.4	0.4	0.1	1.3	1.8	7.0	Bayless, Jerryd	
39	4	14.7	0.445	0.000	0.667	1.0	1.6	2.6	0.7	0.3	1.1	0.7	2.1	3.1	Udoh, Ekpe	
253	124	25.4	0.411	0.366	0.854	0.4	1.5	1.9	3.6	0.6	0.1	1.8	2.0	12.6	Brooks, Aaron	
765	449	28.8	0.458	0.323	0.821	1.2	3.9	5.0	2.1	0.7	0.2	2.3	2.9	16.4	Maggette, Corey	
1	0	1.0	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	Whiteside, Hassan	
125	47	20.5	0.476	0.213	0.728	0.6	2.0	2.6	1.5	0.6	0.2	1.1	1.6	7.8	Weems, Sonny	
483	223	21.8	0.425	0.316	0.753	0.4	1.6	2.0	1.6	0.6	0.2	1.1	1.8	9.3	Green, Willie	
507	169	23.6	0.531	0.063	0.730	2.4	4.0	6.4	0.9	0.5	0.7	1.1	3.2	7.4	Collison, Nick	
459	423	35.3	0.412	0.327	0.791	0.7	2.8	3.5	6.7	1.5	0.2	2.6	2.2	13.7	Felton, Raymond	
18	0	6.8	0.311	0.000	0.824	0.3	1.1	1.4	1.1	0.3	0.2	0.6	0.4	2.3	Jones, Dominique	
876	723	30.6	0.469	0.195	0.678	2.7	7.3	10.0	1.9	1.0	2.5	1.5	2.9	10.2	Camby, Marcus	
146	99	29.0	0.460	0.388	0.837	0.6	2.1	2.7	1.8	1.0	0.2	1.4	2.1	12.3	Matthews, Wesley	
48	1	14.6	0.407	0.167	0.875	0.2	0.9	1.1	2.8	0.5	0.0	0.9	0.9	4.2	Jeter, Eugene	
454	335	22.3	0.563	0.000	0.603	1.8	4.2	6.1	1.0	0.3	1.4	1.6	2.8	6.4	Perkins, Kendrick	
579	103	24.6	0.431	0.411	0.878	0.4	2.6	2.9	1.6	0.7	0.3	1.1	2.3	9.7	Korver, Kyle	
314	25	11.0	0.393	0.304	0.725	0.3	0.8	1.0	1.3	0.6	0.1	0.7	1.4	3.5	Price, Ronnie	
96	4	11.5	0.380	0.364	0.758	0.5	1.2	1.7	0.4	0.4	0.1	0.4	1.3	4.3	Martin, Cartier	
263	184	29.5	0.420	0.261	0.831	0.9	2.4	3.2	4.4	1.1	0.1	2.0	2.6	13.5	Stuckey, Rodney	
